County,State,Category Type,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
Richland County,Ohio,Percent Male,(X),5.30%,4.60%,7.60%,6.50%,7.50%,7.40%,6.80%,7.00%,6.40%,5.60%,5.80%,5.60%,6.50%,6.70%,3.90%,3.70%,1.90%,1.00%,12.20%,4.00%,21.50%,10.00%,41.60%,81.00%,78.50%,74.40%,23.80%,20.70%,17.30%,6.70%
Richland County,Ohio,Female,"60,245","3,362","2,502","4,830","3,767","2,868","3,833","3,366","3,147","3,650","3,540","3,336","3,380","4,990","3,325","4,129","3,251","1,083","1,886","7,332","2,332","13,026","4,303","20,631","48,378","47,219","45,294","18,664","16,674","13,674","6,220"
Richland County,Ohio,Percent Female,(X),5.60%,4.20%,8.00%,6.30%,4.80%,6.40%,5.60%,5.20%,6.10%,5.90%,5.50%,5.60%,8.30%,5.50%,6.90%,5.40%,1.80%,3.10%,12.20%,3.90%,21.60%,7.10%,34.20%,80.30%,78.40%,75.20%,31.00%,27.70%,22.70%,10.30%
Ross County,Ohio,Total,"76,606","3,738","5,130","4,070","3,920","4,809","5,359","4,870","4,998","5,065","4,829","5,239","4,452","6,710","4,964","3,162","2,524","1,492","1,275","9,200","3,123","16,061","5,606","29,021","62,852","60,545","58,807","20,127","17,071","13,417","5,291"
Ross County,Ohio,Percent,(X),4.90%,6.70%,5.30%,5.10%,6.30%,7.00%,6.40%,6.50%,6.60%,6.30%,6.80%,5.80%,8.80%,6.50%,4.10%,3.30%,1.90%,1.70%,12.00%,4.10%,21.00%,7.30%,37.90%,82.00%,79.00%,76.80%,26.30%,22.30%,17.50%,6.90%
Ross County,Ohio,Male,"40,181","1,841","2,615","2,146","1,810","2,638","3,258","2,745","3,513","2,385","2,722","2,614","1,944","3,841","2,420","1,562","1,006",588,533,"4,761","1,494","8,096","2,954","16,349","33,402","32,085","31,335","9,950","7,952","6,109","2,127"
Ross County,Ohio,Percent Male,(X),4.60%,6.50%,5.30%,4.50%,6.60%,8.10%,6.80%,8.70%,5.90%,6.80%,6.50%,4.80%,9.60%,6.00%,3.90%,2.50%,1.50%,1.30%,11.80%,3.70%,20.10%,7.40%,40.70%,83.10%,79.90%,78.00%,24.80%,19.80%,15.20%,5.30%
Ross County,Ohio,Female,"36,425","1,897","2,515","1,924","2,110","2,171","2,101","2,125","1,485","2,680","2,107","2,625","2,508","2,869","2,544","1,600","1,518",904,742,"4,439","1,629","7,965","2,652","12,672","29,450","28,460","27,472","10,177","9,119","7,308","3,164"
Ross County,Ohio,Percent Female,(X),5.20%,6.90%,5.30%,5.80%,6.00%,5.80%,5.80%,4.10%,7.40%,5.80%,7.20%,6.90%,7.90%,7.00%,4.40%,4.20%,2.50%,2.00%,12.20%,4.50%,21.90%,7.30%,34.80%,80.90%,78.10%,75.40%,27.90%,25.00%,20.10%,8.70%
Scioto County,Ohio,Total,"72,194","4,612","3,278","5,182","4,009","4,478","4,579","4,558","3,601","5,319","4,707","4,470","5,996","3,643","5,518","2,694","2,766","1,342","1,442","8,460","2,645","15,717","5,842","26,544","57,748","56,477","53,875","17,405","15,127","13,762","5,550"
Scioto County,Ohio,Percent,(X),6.40%,4.50%,7.20%,5.60%,6.20%,6.30%,6.30%,5.00%,7.40%,6.50%,6.20%,8.30%,5.00%,7.60%,3.70%,3.80%,1.90%,2.00%,11.70%,3.70%,21.80%,8.10%,36.80%,80.00%,78.20%,74.60%,24.10%,21.00%,19.10%,7.70%
Scioto County,Ohio,Male,"36,583","2,566","1,589","2,589","1,954","2,483","2,581","2,502","2,076","2,617","2,499","2,222","2,383","2,467","2,743","1,138","1,353",250,571,"4,178","1,379","8,123","3,058","14,213","29,491","28,460","27,167","8,522","7,026","6,055","2,174"
Scioto County,Ohio,Percent Male,(X),7.00%,4.30%,7.10%,5.30%,6.80%,7.10%,6.80%,5.70%,7.20%,6.80%,6.10%,6.50%,6.70%,7.50%,3.10%,3.70%,0.70%,1.60%,11.40%,3.80%,22.20%,8.40%,38.90%,80.60%,77.80%,74.30%,23.30%,19.20%,16.60%,5.90%
Scioto County,Ohio,Female,"35,611","2,046","1,689","2,593","2,055","1,995","1,998","2,056","1,525","2,702","2,208","2,248","3,613","1,176","2,775","1,556","1,413","1,092",871,"4,282","1,266","7,594","2,784","12,331","28,257","28,017","26,708","8,883","8,101","7,707","3,376"
Scioto County,Ohio,Percent Female,(X),5.70%,4.70%,7.30%,5.80%,5.60%,5.60%,5.80%,4.30%,7.60%,6.20%,6.30%,10.10%,3.30%,7.80%,4.40%,4.00%,3.10%,2.40%,12.00%,3.60%,21.30%,7.80%,34.60%,79.30%,78.70%,75.00%,24.90%,22.70%,21.60%,9.50%
Stark County,Ohio,Total,"372,657","19,780","21,711","23,580","23,614","22,250","21,662","22,599","23,613","21,603","20,426","23,972","26,808","23,792","24,028","21,324","13,832","8,562","9,501","45,291","14,448","79,519","31,416","135,341","303,166","293,138","280,446","101,039","92,602","77,247","31,895"
Stark County,Ohio,Percent,(X),5.30%,5.80%,6.30%,6.30%,6.00%,5.80%,6.10%,6.30%,5.80%,5.50%,6.40%,7.20%,6.40%,6.40%,5.70%,3.70%,2.30%,2.50%,12.20%,3.90%,21.30%,8.40%,36.30%,81.40%,78.70%,75.30%,27.10%,24.80%,20.70%,8.60%
Stark County,Ohio,Male,"182,305","9,881","11,049","12,534","12,442","10,762","11,155","11,002","11,825","10,623","10,229","12,200","12,345","11,927","11,648","9,921","5,826","3,652","3,284","23,583","7,376","40,840","15,828","67,809","146,528","141,465","134,422","46,258","42,330","34,331","12,762"
Stark County,Ohio,Percent Male,(X),5.40%,6.10%,6.90%,6.80%,5.90%,6.10%,6.00%,6.50%,5.80%,5.60%,6.70%,6.80%,6.50%,6.40%,5.40%,3.20%,2.00%,1.80%,12.90%,4.00%,22.40%,8.70%,37.20%,80.40%,77.60%,73.70%,25.40%,23.20%,18.80%,7.00%
Stark County,Ohio,Female,"190,352","9,899","10,662","11,046","11,172","11,488","10,507","11,597","11,788","10,980","10,197","11,772","14,463","11,865","12,380","11,403","8,006","4,910","6,217","21,708","7,072","38,679","15,588","67,532","156,638","151,673","146,024","54,781","50,272","42,916","19,133"
Stark County,Ohio,Percent Female,(X),5.20%,5.60%,5.80%,5.90%,6.00%,5.50%,6.10%,6.20%,5.80%,5.40%,6.20%,7.60%,6.20%,6.50%,6.00%,4.20%,2.60%,3.30%,11.40%,3.70%,20.30%,8.20%,35.50%,82.30%,79.70%,76.70%,28.80%,26.40%,22.50%,10.10%
Summit County,Ohio,Total,"535,882","28,052","31,968","29,999","30,372","33,667","35,517","37,246","33,876","31,060","30,691","34,297","34,388","39,316","33,064","29,027","19,496","11,640","12,206","61,967","19,608","109,627","44,431","201,738","438,545","426,255","409,004","144,749","129,192","105,433","43,342"
Summit County,Ohio,Percent,(X),5.20%,6.00%,5.60%,5.70%,6.30%,6.60%,7.00%,6.30%,5.80%,5.70%,6.40%,6.40%,7.30%,6.20%,5.40%,3.60%,2.20%,2.30%,11.60%,3.70%,20.50%,8.30%,37.60%,81.80%,79.50%,76.30%,27.00%,24.10%,19.70%,8.10%
Summit County,Ohio,Male,"261,597","14,005","15,629","15,763","15,595","17,296","17,700","18,808","16,831","15,203","15,440","16,771","16,833","19,061","15,031","13,871","9,058","4,989","3,713","31,392","10,071","55,468","22,820","101,433","212,155","206,129","196,280","65,723","58,460","46,662","17,760"
Summit County,Ohio,Percent Male,(X),5.40%,6.00%,6.00%,6.00%,6.60%,6.80%,7.20%,6.40%,5.80%,5.90%,6.40%,6.40%,7.30%,5.70%,5.30%,3.50%,1.90%,1.40%,12.00%,3.80%,21.20%,8.70%,38.80%,81.10%,78.80%,75.00%,25.10%,22.30%,17.80%,6.80%
Summit County,Ohio,Female,"274,285","14,047","16,339","14,236","14,777","16,371","17,817","18,438","17,045","15,857","15,251","17,526","17,555","20,255","18,033","15,156","10,438","6,651","8,493","30,575","9,537","54,159","21,611","100,305","226,390","220,126","212,724","79,026","70,732","58,771","25,582"
Summit County,Ohio,Percent Female,(X),5.10%,6.00%,5.20%,5.40%,6.00%,6.50%,6.70%,6.20%,5.80%,5.60%,6.40%,6.40%,7.40%,6.60%,5.50%,3.80%,2.40%,3.10%,11.10%,3.50%,19.70%,7.90%,36.60%,82.50%,80.30%,77.60%,28.80%,25.80%,21.40%,9.30%
Trumbull County,Ohio,Total,"200,643","10,445","10,074","13,101","11,761","11,597","11,651","12,161","11,166","10,913","11,311","12,728","13,139","15,518","14,753","11,477","7,276","5,790","5,782","23,175","7,339","40,959","16,019","69,249","164,693","159,684","153,353","60,596","54,991","45,078","18,848"
Trumbull County,Ohio,Percent,(X),5.20%,5.00%,6.50%,5.90%,5.80%,5.80%,6.10%,5.60%,5.40%,5.60%,6.30%,6.50%,7.70%,7.40%,5.70%,3.60%,2.90%,2.90%,11.60%,3.70%,20.40%,8.00%,34.50%,82.10%,79.60%,76.40%,30.20%,27.40%,22.50%,9.40%
Trumbull County,Ohio,Male,"100,323","6,063","4,699","7,283","6,269","6,038","6,190","6,551","5,199","6,038","5,544","6,193","6,014","7,885","6,855","5,477","3,531","1,961","2,533","11,982","3,870","21,915","8,437","36,285","80,956","78,408","75,190","28,242","25,642","20,357","8,025"
Trumbull County,Ohio,Percent Male,(X),6.00%,4.70%,7.30%,6.20%,6.00%,6.20%,6.50%,5.20%,6.00%,5.50%,6.20%,6.00%,7.90%,6.80%,5.50%,3.50%,2.00%,2.50%,11.90%,3.90%,21.80%,8.40%,36.20%,80.70%,78.20%,74.90%,28.20%,25.60%,20.30%,8.00%
Trumbull County,Ohio,Female,"100,320","4,382","5,375","5,818","5,492","5,559","5,461","5,610","5,967","4,875","5,767","6,535","7,125","7,633","7,898","6,000","3,745","3,829","3,249","11,193","3,469","19,044","7,582","32,964","83,737","81,276","78,163","32,354","29,349","24,721","10,823"
Trumbull County,Ohio,Percent Female,(X),4.40%,5.40%,5.80%,5.50%,5.50%,5.40%,5.60%,5.90%,4.90%,5.70%,6.50%,7.10%,7.60%,7.90%,6.00%,3.70%,3.80%,3.20%,11.20%,3.50%,19.00%,7.60%,32.90%,83.50%,81.00%,77.90%,32.30%,29.30%,24.60%,10.80%
Tuscarawas County,Ohio,Total,"91,937","5,258","5,359","6,506","5,342","5,752","5,684","5,368","5,011","5,405","5,253","5,594","6,281","6,212","6,479","4,609","3,489","2,345","1,990","11,865","3,584","20,707","7,510","32,562","74,206","71,230","68,507","25,124","23,344","18,912","7,824"
Tuscarawas County,Ohio,Percent,(X),5.70%,5.80%,7.10%,5.80%,6.30%,6.20%,5.80%,5.50%,5.90%,5.70%,6.10%,6.80%,6.80%,7.00%,5.00%,3.80%,2.60%,2.20%,12.90%,3.90%,22.50%,8.20%,35.40%,80.70%,77.50%,74.50%,27.30%,25.40%,20.60%,8.50%
Tuscarawas County,Ohio,Male,"45,753","2,648","2,946","3,407","2,690","2,741","3,188","2,669","2,848","2,424","2,619","2,787","3,299","2,933","3,031","2,380","1,433","1,086",624,"6,353","1,756","10,757","3,675","16,560","36,459","34,996","33,656","11,487","10,772","8,554","3,143"
Tuscarawas County,Ohio,Percent Male,(X),5.80%,6.40%,7.40%,5.90%,6.00%,7.00%,5.80%,6.20%,5.30%,5.70%,6.10%,7.20%,6.40%,6.60%,5.20%,3.10%,2.40%,1.40%,13.90%,3.80%,23.50%,8.00%,36.20%,79.70%,76.50%,73.60%,25.10%,23.50%,18.70%,6.90%
Tuscarawas County,Ohio,Female,"46,184","2,610","2,413","3,099","2,652","3,011","2,496","2,699","2,163","2,981","2,634","2,807","2,982","3,279","3,448","2,229","2,056","1,259","1,366","5,512","1,828","9,950","3,835","16,002","37,747","36,234","34,851","13,637","12,572","10,358","4,681"
Tuscarawas County,Ohio,Percent Female,(X),5.70%,5.20%,6.70%,5.70%,6.50%,5.40%,5.80%,4.70%,6.50%,5.70%,6.10%,6.50%,7.10%,7.50%,4.80%,4.50%,2.70%,3.00%,11.90%,4.00%,21.50%,8.30%,34.60%,81.70%,78.50%,75.50%,29.50%,27.20%,22.40%,10.10%
Union County,Ohio,Total,"66,898","3,926","4,073","4,557","4,993","3,534","3,642","4,906","4,830","4,732","5,010","4,729","4,142","3,824","3,307","2,535","1,786","1,640",732,"8,630","3,067","15,623","5,460","26,637","53,221","51,275","48,649","13,824","12,523","10,000","4,158"
Union County,Ohio,Percent,(X),5.90%,6.10%,6.80%,7.50%,5.30%,5.40%,7.30%,7.20%,7.10%,7.50%,7.10%,6.20%,5.70%,4.90%,3.80%,2.70%,2.50%,1.10%,12.90%,4.60%,23.40%,8.20%,39.80%,79.60%,76.60%,72.70%,20.70%,18.70%,14.90%,6.20%
Union County,Ohio,Male,"32,663","2,125","2,604","1,823","2,425","1,766","1,679","2,375","2,465","2,083","2,448","2,407","2,023","1,942","1,699",990,586,947,276,"4,427","1,618","8,170","2,573","12,793",N,"24,493","23,338","6,440","5,835","4,498","1,809"
Union County,Ohio,Percent Male,(X),6.50%,8.00%,5.60%,7.40%,5.40%,5.10%,7.30%,7.50%,6.40%,7.50%,7.40%,6.20%,5.90%,5.20%,3.00%,1.80%,2.90%,0.80%,13.60%,5.00%,25.00%,7.90%,39.20%,N,75.00%,71.50%,19.70%,17.90%,13.80%,5.50%
Union County,Ohio,Female,"34,235","1,801","1,469","2,734","2,568","1,768","1,963","2,531","2,365","2,649","2,562","2,322","2,119","1,882","1,608","1,545","1,200",693,456,"4,203","1,449","7,453","2,887","13,844",N,"26,782","25,311","7,384","6,688","5,502","2,349"
Union County,Ohio,Percent Female,(X),5.30%,4.30%,8.00%,7.50%,5.20%,5.70%,7.40%,6.90%,7.70%,7.50%,6.80%,6.20%,5.50%,4.70%,4.50%,3.50%,2.00%,1.30%,12.30%,4.20%,21.80%,8.40%,40.40%,N,78.20%,73.90%,21.60%,19.50%,16.10%,6.90%
Warren County,Ohio,Total,"249,778","13,640","16,254","17,889","16,928","13,807","12,321","15,808","18,530","17,336","16,483","18,256","14,621","18,379","12,421","11,638","8,297","3,726","3,444","34,143","10,916","58,699","19,819","94,730","198,007","191,079","182,341","57,905","51,360","39,526","15,467"
Warren County,Ohio,Percent,(X),5.50%,6.50%,7.20%,6.80%,5.50%,4.90%,6.30%,7.40%,6.90%,6.60%,7.30%,5.90%,7.40%,5.00%,4.70%,3.30%,1.50%,1.40%,13.70%,4.40%,23.50%,7.90%,37.90%,79.30%,76.50%,73.00%,23.20%,20.60%,15.80%,6.20%
Warren County,Ohio,Male,"127,193","7,398","8,369","8,894","8,894","7,533","6,954","8,292","9,687","8,785","8,086","9,615","7,758","9,157","5,996","5,444","3,476","1,705","1,150","17,263","6,021","30,682","10,406","50,145","100,328","96,511","92,026","26,928","23,675","17,771","6,331"
Warren County,Ohio,Percent Male,(X),5.80%,6.60%,7.00%,7.00%,5.90%,5.50%,6.50%,7.60%,6.90%,6.40%,7.60%,6.10%,7.20%,4.70%,4.30%,2.70%,1.30%,0.90%,13.60%,4.70%,24.10%,8.20%,39.40%,78.90%,75.90%,72.40%,21.20%,18.60%,14.00%,5.00%
Warren County,Ohio,Female,"122,585","6,242","7,885","8,995","8,034","6,274","5,367","7,516","8,843","8,551","8,397","8,641","6,863","9,222","6,425","6,194","4,821","2,021","2,294","16,880","4,895","28,017","9,413","44,585","97,679","94,568","90,315","30,977","27,685","21,755","9,136"
Warren County,Ohio,Percent Female,(X),5.10%,6.40%,7.30%,6.60%,5.10%,4.40%,6.10%,7.20%,7.00%,6.80%,7.00%,5.60%,7.50%,5.20%,5.10%,3.90%,1.60%,1.90%,13.80%,4.00%,22.90%,7.70%,36.40%,79.70%,77.10%,73.70%,25.30%,22.60%,17.70%,7.50%
Wayne County,Ohio,Total,"116,559","7,128","8,629","7,210","8,094","8,148","6,910","7,001","6,397","6,826","6,349","6,964","5,521","9,237","6,581","6,141","4,182","3,172","2,069","15,839","4,653","27,620","11,589","43,376","91,821","88,939","83,125","31,382","28,019","22,145","9,423"
Wayne County,Ohio,Percent,(X),6.10%,7.40%,6.20%,6.90%,7.00%,5.90%,6.00%,5.50%,5.90%,5.40%,6.00%,4.70%,7.90%,5.60%,5.30%,3.60%,2.70%,1.80%,13.60%,4.00%,23.70%,9.90%,37.20%,78.80%,76.30%,71.30%,26.90%,24.00%,19.00%,8.10%
Wayne County,Ohio,Male,"57,790","3,470","4,572","3,544","4,099","4,308","3,548","3,493","2,910","3,934","3,136","3,393","2,780","4,573","3,409","2,703","1,856","1,397",665,"8,116","2,430","14,016","5,977","22,292","45,189","43,774","40,830","14,603","12,878","10,030","3,918"
Wayne County,Ohio,Percent Male,(X),6.00%,7.90%,6.10%,7.10%,7.50%,6.10%,6.00%,5.00%,6.80%,5.40%,5.90%,4.80%,7.90%,5.90%,4.70%,3.20%,2.40%,1.20%,14.00%,4.20%,24.30%,10.30%,38.60%,78.20%,75.70%,70.70%,25.30%,22.30%,17.40%,6.80%
Wayne County,Ohio,Female,"58,769","3,658","4,057","3,666","3,995","3,840","3,362","3,508","3,487","2,892","3,213","3,571","2,741","4,664","3,172","3,438","2,326","1,775","1,404","7,723","2,223","13,604","5,612","21,084","46,632","45,165","42,295","16,779","15,141","12,115","5,505"
Wayne County,Ohio,Percent Female,(X),6.20%,6.90%,6.20%,6.80%,6.50%,5.70%,6.00%,5.90%,4.90%,5.50%,6.10%,4.70%,7.90%,5.40%,5.90%,4.00%,3.00%,2.40%,13.10%,3.80%,23.10%,9.50%,35.90%,79.30%,76.90%,72.00%,28.60%,25.80%,20.60%,9.40%
Wood County,Ohio,Total,"131,592","6,341","6,970","8,258","10,327","15,905","8,221","7,665","7,574","7,283","7,308","7,794","6,554","8,724","7,207","5,962","4,063","2,835","2,601","15,228","4,767","26,336","21,465","56,975","108,041","105,256","96,953","31,392","28,015","22,668","9,499"
Wood County,Ohio,Percent,(X),4.80%,5.30%,6.30%,7.80%,12.10%,6.20%,5.80%,5.80%,5.50%,5.60%,5.90%,5.00%,6.60%,5.50%,4.50%,3.10%,2.20%,2.00%,11.60%,3.60%,20.00%,16.30%,43.30%,82.10%,80.00%,73.70%,23.90%,21.30%,17.20%,7.20%
Wood County,Ohio,Male,"66,542","3,311","3,988","3,717","5,169","8,131","4,518","3,793","4,467","3,430","3,931","3,989","3,694","4,107","3,422","2,934","1,898","1,025","1,018","7,705","2,554","13,570","10,746","29,508","54,659","52,972","48,537","14,404","12,905","10,297","3,941"
Wood County,Ohio,Percent Male,(X),5.00%,6.00%,5.60%,7.80%,12.20%,6.80%,5.70%,6.70%,5.20%,5.90%,6.00%,5.60%,6.20%,5.10%,4.40%,2.90%,1.50%,1.50%,11.60%,3.80%,20.40%,16.10%,44.30%,82.10%,79.60%,72.90%,21.60%,19.40%,15.50%,5.90%
Wood County,Ohio,Female,"65,050","3,030","2,982","4,541","5,158","7,774","3,703","3,872","3,107","3,853","3,377","3,805","2,860","4,617","3,785","3,028","2,165","1,810","1,583","7,523","2,213","12,766","10,719","27,467","53,382","52,284","48,416","16,988","15,110","12,371","5,558"
Wood County,Ohio,Percent Female,(X),4.70%,4.60%,7.00%,7.90%,12.00%,5.70%,6.00%,4.80%,5.90%,5.20%,5.80%,4.40%,7.10%,5.80%,4.70%,3.30%,2.80%,2.40%,11.60%,3.40%,19.60%,16.50%,42.20%,82.10%,80.40%,74.40%,26.10%,23.20%,19.00%,8.50%
Delaware,Delaware,Total,"1,018,396","54,058","57,518","59,905","62,893","59,981","61,590","68,973","61,247","64,060","52,379","60,491","65,121","78,000","69,310","57,686","41,828","24,484","18,872","117,423","36,746","208,227","86,128","378,744","835,365","810,169","769,624","290,180","260,120","212,180","85,184"
Delaware,Delaware,Percent,(X),5.30%,5.60%,5.90%,6.20%,5.90%,6.00%,6.80%,6.00%,6.30%,5.10%,5.90%,6.40%,7.70%,6.80%,5.70%,4.10%,2.40%,1.90%,11.50%,3.60%,20.40%,8.50%,37.20%,82.00%,79.60%,75.60%,28.50%,25.50%,20.80%,8.40%
Delaware,Delaware,Male,"494,657","27,456","29,704","30,008","31,849","30,654","30,555","34,015","31,389","29,940","25,731","29,397","31,644","36,781","30,779","28,211","18,719","10,869","6,956","59,712","18,616","105,784","43,887","188,402","401,879","388,873","369,356","132,315","118,007","95,534","36,544"
Delaware,Delaware,Percent Male,(X),5.60%,6.00%,6.10%,6.40%,6.20%,6.20%,6.90%,6.30%,6.10%,5.20%,5.90%,6.40%,7.40%,6.20%,5.70%,3.80%,2.20%,1.40%,12.10%,3.80%,21.40%,8.90%,38.10%,81.20%,78.60%,74.70%,26.70%,23.90%,19.30%,7.40%
Delaware,Delaware,Female,"523,739","26,602","27,814","29,897","31,044","29,327","31,035","34,958","29,858","34,120","26,648","31,094","33,477","41,219","38,531","29,475","23,109","13,615","11,916","57,711","18,130","102,443","42,241","190,342","433,486","421,296","400,268","157,865","142,113","116,646","48,640"
Delaware,Delaware,Percent Female,(X),5.10%,5.30%,5.70%,5.90%,5.60%,5.90%,6.70%,5.70%,6.50%,5.10%,5.90%,6.40%,7.90%,7.40%,5.60%,4.40%,2.60%,2.30%,11.00%,3.50%,19.60%,8.10%,36.30%,82.80%,80.40%,76.40%,30.10%,27.10%,22.30%,9.30%
Kent County,Delaware,Total,"186,946","11,059","13,951","10,570","11,776","12,923","12,089","14,374","11,766","11,432","8,345","10,282","10,763","13,021","11,744","7,854","6,912","4,546","3,539","24,521","7,013","42,593","17,686","74,360","149,495","144,353","135,477","47,616","42,393","34,595","14,997"
Kent County,Delaware,Percent,(X),5.90%,7.50%,5.70%,6.30%,6.90%,6.50%,7.70%,6.30%,6.10%,4.50%,5.50%,5.80%,7.00%,6.30%,4.20%,3.70%,2.40%,1.90%,13.10%,3.80%,22.80%,9.50%,39.80%,80.00%,77.20%,72.50%,25.50%,22.70%,18.50%,8.00%
Kent County,Delaware,Male,"90,564","5,425","6,592","5,855","6,416","6,533","5,864","7,113","5,478","5,110","4,234","4,949","5,617","6,200","4,691","4,350","3,585","1,607",945,"12,447","3,934","21,806","9,015","36,514","71,847","68,758","64,292","21,378","18,417","15,178","6,137"
Kent County,Delaware,Percent Male,(X),6.00%,7.30%,6.50%,7.10%,7.20%,6.50%,7.90%,6.00%,5.60%,4.70%,5.50%,6.20%,6.80%,5.20%,4.80%,4.00%,1.80%,1.00%,13.70%,4.30%,24.10%,10.00%,40.30%,79.30%,75.90%,71.00%,23.60%,20.30%,16.80%,6.80%
Kent County,Delaware,Female,"96,382","5,634","7,359","4,715","5,360","6,390","6,225","7,261","6,288","6,322","4,111","5,333","5,146","6,821","7,053","3,504","3,327","2,939","2,594","12,074","3,079","20,787","8,671","37,846","77,648","75,595","71,185","26,238","23,976","19,417","8,860"
Kent County,Delaware,Percent Female,(X),5.80%,7.60%,4.90%,5.60%,6.60%,6.50%,7.50%,6.50%,6.60%,4.30%,5.50%,5.30%,7.10%,7.30%,3.60%,3.50%,3.00%,2.70%,12.50%,3.20%,21.60%,9.00%,39.30%,80.60%,78.40%,73.90%,27.20%,24.90%,20.10%,9.20%
New Castle County,Delaware,Total,"575,494","31,328","30,704","37,286","38,749","35,984","37,587","42,422","35,246","40,806","32,555","37,482","38,289","38,481","32,680","25,742","19,728","11,543","8,882","67,990","21,731","121,049","53,002","230,794","469,603","454,445","429,745","137,056","121,819","98,575","40,153"
New Castle County,Delaware,Percent,(X),5.40%,5.30%,6.50%,6.70%,6.30%,6.50%,7.40%,6.10%,7.10%,5.70%,6.50%,6.70%,6.70%,5.70%,4.50%,3.40%,2.00%,1.50%,11.80%,3.80%,21.00%,9.20%,40.10%,81.60%,79.00%,74.70%,23.80%,21.20%,17.10%,7.00%
New Castle County,Delaware,Male,"279,996","15,929","16,763","17,773","19,508","18,329","18,438","20,907","18,120","19,689","15,900","18,069","18,952","18,018","15,088","11,981","8,005","5,536","2,991","34,536","10,970","61,435","26,867","114,991","226,028","218,561","206,947","61,619","55,316","43,601","16,532"
New Castle County,Delaware,Percent Male,(X),5.70%,6.00%,6.30%,7.00%,6.50%,6.60%,7.50%,6.50%,7.00%,5.70%,6.50%,6.80%,6.40%,5.40%,4.30%,2.90%,2.00%,1.10%,12.30%,3.90%,21.90%,9.60%,41.10%,80.70%,78.10%,73.90%,22.00%,19.80%,15.60%,5.90%
New Castle County,Delaware,Female,"295,498","15,399","13,941","19,513","19,241","17,655","19,149","21,515","17,126","21,117","16,655","19,413","19,337","20,463","17,592","13,761","11,723","6,007","5,891","33,454","10,761","59,614","26,135","115,803","243,575","235,884","222,798","75,437","66,503","54,974","23,621"
New Castle County,Delaware,Percent Female,(X),5.20%,4.70%,6.60%,6.50%,6.00%,6.50%,7.30%,5.80%,7.10%,5.60%,6.60%,6.50%,6.90%,6.00%,4.70%,4.00%,2.00%,2.00%,11.30%,3.60%,20.20%,8.80%,39.20%,82.40%,79.80%,75.40%,25.50%,22.50%,18.60%,8.00%
Sussex County,Delaware,Total,"255,956","11,671","12,863","12,049","12,368","11,074","11,914","12,177","14,235","11,822","11,479","12,727","16,069","26,498","24,886","24,090","15,188","8,395","6,451","24,912","8,002","44,585","15,440","73,590","216,267","211,371","204,402","105,508","95,908","79,010","30,034"
Sussex County,Delaware,Percent,(X),4.60%,5.00%,4.70%,4.80%,4.30%,4.70%,4.80%,5.60%,4.60%,4.50%,5.00%,6.30%,10.40%,9.70%,9.40%,5.90%,3.30%,2.50%,9.70%,3.10%,17.40%,6.00%,28.80%,84.50%,82.60%,79.90%,41.20%,37.50%,30.90%,11.70%
Sussex County,Delaware,Male,"124,097","6,102","6,349","6,380","5,925","5,792","6,253","5,995","7,791","5,141","5,597","6,379","7,075","12,563","11,000","11,880","7,129","3,726","3,020","12,729","3,712","22,543","8,005","36,897","104,004","101,554","98,117","49,318","44,274","36,755","13,875"
Sussex County,Delaware,Percent Male,(X),4.90%,5.10%,5.10%,4.80%,4.70%,5.00%,4.80%,6.30%,4.10%,4.50%,5.10%,5.70%,10.10%,8.90%,9.60%,5.70%,3.00%,2.40%,10.30%,3.00%,18.20%,6.50%,29.70%,83.80%,81.80%,79.10%,39.70%,35.70%,29.60%,11.20%
Sussex County,Delaware,Female,"131,859","5,569","6,514","5,669","6,443","5,282","5,661","6,182","6,444","6,681","5,882","6,348","8,994","13,935","13,886","12,210","8,059","4,669","3,431","12,183","4,290","22,042","7,435","36,693","112,263","109,817","106,285","56,190","51,634","42,255","16,159"
Sussex County,Delaware,Percent Female,(X),4.20%,4.90%,4.30%,4.90%,4.00%,4.30%,4.70%,4.90%,5.10%,4.50%,4.80%,6.80%,10.60%,10.50%,9.30%,6.10%,3.50%,2.60%,9.20%,3.30%,16.70%,5.60%,27.80%,85.10%,83.30%,80.60%,42.60%,39.20%,32.00%,12.30%
Kentucky,Kentucky,Total,"4,512,310","260,433","281,095","284,053","293,874","301,356","290,830","296,329","279,692","289,631","270,219","287,374","279,552","306,759","265,046","212,760","149,226","86,734","77,347","565,148","179,299","1,004,880","415,931","1,751,712","3,626,511","3,507,430","3,332,221","1,097,872","975,245","791,113","313,307"
Kentucky,Kentucky,Percent,(X),5.80%,6.20%,6.30%,6.50%,6.70%,6.40%,6.60%,6.20%,6.40%,6.00%,6.40%,6.20%,6.80%,5.90%,4.70%,3.30%,1.90%,1.70%,12.50%,4.00%,22.30%,9.20%,38.80%,80.40%,77.70%,73.80%,24.30%,21.60%,17.50%,6.90%
